Date,Product,Category,Region,Salesperson,Sales Amount
2023-01-01,Product A,Furniture,North,John,14308
2023-01-04,Product D,Electronics,South,Emily,21959
2023-01-07,Product B,Electronics,West,Sara,17512
2023-01-10,Product B,Furniture,North,John,9891
2023-01-13,Product D,Electronics,West,Sara,23068
2023-01-16,Product E,Appliances,North,Alice,12027
2023-01-19,Product C,Furniture,North,Mike,21745
2023-01-22,Product A,Books,East,Alice,22350
2023-01-25,Product C,Furniture,North,Emily,22743
2023-01-28,Product B,Appliances,North,Emily,23308
2023-01-31,Product E,Appliances,West,Tom,8723
2023-02-03,Product E,Appliances,South,John,11198
2023-02-06,Product C,Clothing,South,Nina,24335
2023-02-09,Product D,Clothing,North,Nina,12325
2023-02-12,Product A,Appliances,East,Raj,7973
2023-02-15,Product A,Appliances,North,Emily,22977
2023-02-18,Product E,Clothing,West,Sara,18316
2023-02-21,Product B,Electronics,South,Mike,17701
2023-02-24,Product E,Appliances,South,Sara,13141
2023-02-27,Product A,Electronics,East,Nina,17164
2023-03-02,Product E,Appliances,West,Tom,12208
2023-03-05,Product C,Electronics,South,Raj,17816
2023-03-08,Product A,Electronics,West,Sara,21321
2023-03-11,Product A,Books,East,Alice,18087
2023-03-14,Product C,Appliances,South,Alice,10758
2023-03-17,Product A,Electronics,West,John,23956
2023-03-20,Product D,Furniture,South,Mike,10380
2023-03-23,Product C,Appliances,North,Mike,12143
2023-03-26,Product E,Furniture,South,Mike,13653
2023-03-29,Product E,Electronics,South,Mike,18829
2023-04-01,Product A,Appliances,East,Tom,24308
2023-04-04,Product B,Clothing,South,Mike,18383
2023-04-07,Product B,Electronics,West,John,19193
2023-04-10,Product C,Books,North,Mike,7807
2023-04-13,Product C,Electronics,North,Alice,16786
2023-04-16,Product C,Books,East,Tom,17936
2023-04-19,Product B,Furniture,North,Sara,5474
2023-04-22,Product E,Appliances,North,Emily,12578
2023-04-25,Product C,Furniture,East,Tom,24919
2023-04-28,Product B,Appliances,South,Alice,7675
2023-05-01,Product A,Electronics,South,Emily,24150
2023-05-04,Product B,Clothing,South,Alice,24296
2023-05-07,Product E,Clothing,West,Emily,20966
2023-05-10,Product D,Electronics,West,Raj,13110
2023-05-13,Product C,Books,North,Mike,20176
2023-05-16,Product B,Appliances,West,John,13237
2023-05-19,Product A,Electronics,West,Nina,22256
2023-05-22,Product A,Clothing,West,Nina,12864
2023-05-25,Product D,Clothing,South,Tom,22984
2023-05-28,Product E,Appliances,South,Alice,24670
2023-05-31,Product D,Clothing,East,Emily,6357
2023-06-03,Product E,Appliances,West,Sara,5457
2023-06-06,Product A,Books,South,Nina,15820
2023-06-09,Product B,Furniture,West,Nina,15204
2023-06-12,Product E,Appliances,South,John,10292
2023-06-15,Product B,Electronics,South,John,12590
2023-06-18,Product B,Appliances,West,Mike,22369
2023-06-21,Product B,Books,South,Emily,20411
2023-06-24,Product B,Electronics,South,John,24842
2023-06-27,Product B,Books,East,Raj,10090
2023-06-30,Product A,Appliances,East,Raj,24028
2023-07-03,Product B,Clothing,West,Sara,16945
2023-07-06,Product D,Books,East,Tom,13352
2023-07-09,Product A,Electronics,East,Tom,6411
2023-07-12,Product C,Furniture,South,Raj,9428
2023-07-15,Product C,Books,West,Emily,9789
2023-07-18,Product C,Electronics,West,Nina,10420
2023-07-21,Product E,Electronics,East,Tom,24417
2023-07-24,Product B,Furniture,North,Mike,9333
2023-07-27,Product B,Books,West,Emily,5355
2023-07-30,Product B,Furniture,North,Alice,17170
2023-08-02,Product D,Electronics,North,Raj,7497
2023-08-05,Product E,Furniture,South,Emily,24101
2023-08-08,Product B,Furniture,East,Emily,9895
2023-08-11,Product D,Furniture,East,Tom,22855
2023-08-14,Product A,Clothing,North,Raj,8156
2023-08-17,Product D,Books,South,Tom,8758
2023-08-20,Product E,Furniture,South,Raj,10064
2023-08-23,Product C,Furniture,South,Alice,16623
2023-08-26,Product A,Electronics,North,Tom,20405
2023-08-29,Product D,Clothing,West,John,15800
2023-09-01,Product B,Appliances,West,Emily,24900
2023-09-04,Product D,Furniture,East,Emily,13783
2023-09-07,Product E,Books,South,Sara,13466
2023-09-10,Product B,Appliances,East,Sara,12567
2023-09-13,Product E,Clothing,South,Tom,23506
2023-09-16,Product A,Furniture,East,John,17401
2023-09-19,Product E,Electronics,North,John,6721
2023-09-22,Product B,Books,North,Sara,18280
2023-09-25,Product C,Books,East,John,19310
2023-09-28,Product D,Furniture,South,Sara,23210
2023-10-01,Product C,Books,West,Alice,5080
2023-10-04,Product A,Furniture,South,Tom,15426
2023-10-07,Product D,Furniture,East,Alice,21680
2023-10-10,Product D,Furniture,East,John,23982
2023-10-13,Product E,Appliances,West,John,21160
2023-10-16,Product B,Appliances,East,Nina,24070
2023-10-19,Product B,Clothing,North,Emily,7444
2023-10-22,Product B,Clothing,East,Emily,23887
2023-10-25,Product C,Books,West,Tom,11555
