Date,Product_ID,Category,Region,Units_Sold,Sales
2020-01-01,1051,Groceries,West,9,3153.8806487103843
2020-01-02,1081,Clothing,West,59,17188.836818449738
2020-01-03,1021,Books,South,90,6218.849109819505
2020-01-04,1030,Books,East,91,8292.179589167341
2020-01-05,1099,Electronics,West,27,11122.298587676
2020-01-06,1072,Electronics,South,82,33097.11281248612
2020-01-07,1045,Clothing,North,94,29241.978130333096
2020-01-08,1066,Clothing,South,59,13276.868236823995
2020-01-09,1096,Books,South,95,2161.8198492888428
2020-01-10,1090,Electronics,South,3,510.9501055169595
2020-01-11,1042,Clothing,West,93,20098.549195251537
2020-01-12,1000,Books,North,7,1736.3498615748324
2020-01-13,1043,Electronics,South,82,38160.26237018938
2020-01-14,1056,Books,North,16,1012.2816944331197
2020-01-15,1008,Books,South,49,12947.994743912286
2020-01-16,1004,Electronics,West,32,6089.021616305826
2020-01-17,1078,Books,South,89,44068.17897901202
2020-01-18,1008,Clothing,South,44,19021.788191059437
2020-01-19,1044,Books,North,96,21600.48658339884
2020-01-20,1091,Clothing,North,19,9497.16612309282
2020-01-21,1076,Groceries,North,3,785.6729723130996
2020-01-22,1023,Groceries,East,60,5513.26321978718
2020-01-23,1073,Groceries,North,35,9883.250964828156
2020-01-24,1041,Books,South,29,3504.3839320698185
2020-01-25,1021,Groceries,East,75,24134.49687280226
2020-01-26,1059,Groceries,North,70,32854.19799851865
2020-01-27,1085,Books,West,83,32804.6961198806
2020-01-28,1036,Electronics,North,45,6473.259373740168
2020-01-29,1038,Books,West,27,4197.439608300274
2020-01-30,1083,Clothing,East,69,3032.6341464834495
2020-01-31,1073,Books,West,90,13506.771552000833
2020-02-01,1073,Electronics,East,35,1938.5153144745652
2020-02-02,1089,Groceries,West,19,4839.867576921734
2020-02-03,1088,Books,North,17,6070.531172220485
2020-02-04,1052,Groceries,East,35,13232.75691971057
2020-02-05,1027,Clothing,South,77,3016.0379327237965
2020-02-06,1076,Electronics,South,78,13773.114430664082
2020-02-07,1014,Groceries,South,30,4536.124968247275
2020-02-08,1059,Groceries,North,48,2933.1435966621098
2020-02-09,1059,Groceries,South,57,10693.823714330918
2020-02-10,1005,Groceries,East,17,2663.336509129837
2020-02-11,1051,Books,South,15,4813.569335643684
2020-02-12,1011,Electronics,East,82,36311.10102882059
2020-02-13,1018,Electronics,South,14,3260.2142051902606
2020-02-14,1095,Groceries,West,14,5262.123085180375
2020-02-15,1074,Electronics,East,45,3669.5285947903676
2020-02-16,1096,Groceries,South,97,43507.75197694288
2020-02-17,1001,Clothing,South,38,3221.3140255650183
2020-02-18,1054,Clothing,South,63,6560.163445103148
2020-02-19,1014,Clothing,East,75,4662.544781847111
2020-02-20,1063,Electronics,East,11,1779.1725131956914
2020-02-21,1099,Groceries,South,48,13472.693706749173
2020-02-22,1068,Books,West,26,12847.044979316603
2020-02-23,1014,Books,East,67,26716.27257780717
2020-02-24,1042,Clothing,East,25,4910.338585426779
2020-02-25,1073,Clothing,West,81,23665.33003819271
2020-02-26,1016,Electronics,North,61,19240.67704477292
2020-02-27,1097,Books,West,86,35529.725103363206
2020-02-28,1023,Electronics,South,93,34490.10786158031
2020-02-29,1073,Clothing,East,26,7512.768957612328
2020-03-01,1029,Groceries,East,34,11488.589230480682
2020-03-02,1066,Groceries,East,90,33794.96664346388
2020-03-03,1050,Groceries,East,9,677.165300778313
2020-03-04,1059,Clothing,North,40,4328.927041585447
2020-03-05,1002,Electronics,East,75,26055.472617351243
2020-03-06,1004,Groceries,East,7,2986.959677617578
2020-03-07,1027,Books,North,30,6316.155555686588
2020-03-08,1077,Books,South,66,32349.653028718803
2020-03-09,1010,Clothing,South,30,3476.254470298581
2020-03-10,1071,Books,North,68,14564.420077687384
2020-03-11,1071,Books,South,58,11337.624895225656
2020-03-12,1075,Clothing,South,55,25621.475602577266
2020-03-13,1014,Electronics,West,14,2097.696630547621
2020-03-14,1082,Groceries,West,77,18532.936055532795
2020-03-15,1047,Clothing,West,89,9055.267745624518
2020-03-16,1045,Books,North,77,20437.375180961004
2020-03-17,1027,Groceries,East,77,33119.85931386129
2020-03-18,1006,Groceries,North,37,5882.235444075929
2020-03-19,1070,Groceries,North,44,17920.677075830576
2020-03-20,1093,Clothing,North,6,2739.2560515963405
2020-03-21,1081,Groceries,North,26,1189.4835149635408
2020-03-22,1087,Electronics,West,14,5329.072319150062
2020-03-23,1005,Books,North,8,1080.9462697099239
2020-03-24,1057,Clothing,West,24,2301.8533114307584
2020-03-25,1067,Clothing,East,86,26191.297599935016
2020-03-26,1054,Groceries,South,39,13874.06599613045
2020-03-27,1066,Books,West,49,9968.211267502484
2020-03-28,1048,Groceries,North,85,2481.5848999732384
2020-03-29,1050,Groceries,East,63,28681.708661955006
2020-03-30,1058,Clothing,North,26,9569.715720637087
2020-03-31,1005,Electronics,East,10,1431.167352746772
2020-04-01,1089,Books,South,77,19516.673277249036
2020-04-02,1050,Books,East,58,1369.871090864357
2020-04-03,1037,Books,East,14,2467.479883188761
2020-04-04,1010,Books,South,73,19421.08537687968
2020-04-05,1051,Electronics,South,71,18704.209569894345
2020-04-06,1092,Clothing,East,39,4368.413018743221
2020-04-07,1019,Electronics,North,31,12108.7924923333
2020-04-08,1009,Groceries,West,50,7822.122883902764
2020-04-09,1025,Clothing,North,16,4710.414581715306
2020-04-10,1047,Electronics,West,72,10299.30411697975
2020-04-11,1090,Books,South,51,11134.945145939388
2020-04-12,1013,Books,North,15,1675.2324955891922
2020-04-13,1099,Clothing,South,89,28495.469832322193
2020-04-14,1058,Electronics,East,38,8304.38078583195
2020-04-15,1011,Clothing,East,79,1413.900856721355
2020-04-16,1022,Books,North,89,2118.2753890711692
2020-04-17,1084,Electronics,South,71,17100.762939620778
2020-04-18,1071,Books,North,90,8980.260730526128
2020-04-19,1038,Clothing,North,72,21360.28345854651
2020-04-20,1008,Clothing,West,82,17221.145791599818
2020-04-21,1087,Clothing,East,21,6943.980107703747
2020-04-22,1094,Clothing,North,16,7626.77816466138
2020-04-23,1024,Clothing,East,67,18028.40730532818
2020-04-24,1016,Groceries,West,65,25728.008524344674
2020-04-25,1041,Clothing,South,13,4926.87114653252
2020-04-26,1028,Clothing,North,64,29547.369031596412
2020-04-27,1059,Books,East,61,7006.994051744005
2020-04-28,1066,Clothing,North,32,13292.486901907872
2020-04-29,1084,Electronics,South,12,5444.459825607559
2020-04-30,1056,Clothing,North,95,19233.11676310974
2020-05-01,1071,Groceries,North,41,6714.56734949327
2020-05-02,1013,Clothing,East,66,31448.841318995826
2020-05-03,1038,Books,South,8,2540.3206627843624
2020-05-04,1015,Electronics,West,59,11595.35718833085
2020-05-05,1017,Electronics,South,25,9949.889581412472
2020-05-06,1094,Clothing,South,5,795.961058958502
2020-05-07,1074,Clothing,West,45,4339.787272840458
2020-05-08,1019,Clothing,North,2,553.0902430817514
2020-05-09,1045,Clothing,East,42,12072.643884260218
2020-05-10,1044,Books,North,38,15755.399499817833
2020-05-11,1003,Books,North,3,701.830211880032
2020-05-12,1083,Electronics,West,46,18820.7806004504
2020-05-13,1094,Clothing,West,22,3576.058483375088
2020-05-14,1019,Books,North,33,9633.703829214895
2020-05-15,1010,Books,South,32,3588.853173163224
2020-05-16,1064,Electronics,East,17,3380.7647711352483
2020-05-17,1017,Electronics,South,82,35275.94505892396
2020-05-18,1038,Groceries,North,56,6486.716027877118
2020-05-19,1043,Books,North,3,1221.0520104619236
2020-05-20,1096,Electronics,East,70,10402.497864166033
2020-05-21,1099,Books,South,49,1318.098169503683
2020-05-22,1017,Books,North,55,3512.7366630320066
2020-05-23,1046,Clothing,North,77,28912.035244953335
2020-05-24,1030,Clothing,West,31,4290.857373567632
2020-05-25,1098,Clothing,East,81,26773.038556056097
2020-05-26,1038,Clothing,West,21,7404.756709371928
2020-05-27,1037,Books,West,16,2865.7287611679294
2020-05-28,1078,Groceries,West,17,4126.075163468799
2020-05-29,1046,Groceries,North,96,19953.203935041332
