Date,Product,Category,Region,Salesperson,Sales Amount
2023-01-01,Product E,Electronics,West,Raj,6898
2023-01-02,Product A,Clothing,West,Tom,19839
2023-01-03,Product E,Appliances,East,Alice,23392
2023-01-04,Product A,Appliances,South,Tom,6204
2023-01-05,Product A,Electronics,North,John,18170
2023-01-06,Product C,Furniture,South,Tom,8395
2023-01-07,Product B,Clothing,South,Raj,10657
2023-01-08,Product B,Clothing,East,Alice,6060
2023-01-09,Product A,Furniture,South,Emily,23022
2023-01-10,Product D,Clothing,East,Nina,8651
2023-01-11,Product E,Books,East,Emily,12730
2023-01-12,Product D,Appliances,East,Sara,23297
2023-01-13,Product C,Clothing,South,John,22499
2023-01-14,Product B,Furniture,North,Tom,5434
2023-01-15,Product A,Appliances,North,John,22604
2023-01-16,Product D,Appliances,East,Nina,7350
2023-01-17,Product D,Clothing,North,Tom,19909
2023-01-18,Product D,Appliances,North,Mike,12630
2023-01-19,Product D,Appliances,North,Mike,18872
2023-01-20,Product E,Books,East,Nina,12024
2023-01-21,Product B,Clothing,South,Tom,22942
2023-01-22,Product C,Appliances,East,Mike,22934
2023-01-23,Product E,Clothing,South,Alice,18726
2023-01-24,Product E,Electronics,East,Mike,5896
2023-01-25,Product B,Appliances,South,Mike,7283
2023-01-26,Product A,Clothing,East,Emily,22924
2023-01-27,Product D,Appliances,East,John,18976
2023-01-28,Product A,Books,East,Alice,14511
2023-01-29,Product A,Electronics,South,Sara,6949
2023-01-30,Product E,Furniture,South,Sara,7351
2023-01-31,Product E,Electronics,South,Alice,12877
2023-02-01,Product B,Books,West,Nina,17938
2023-02-02,Product E,Electronics,East,Mike,21998
2023-02-03,Product A,Clothing,East,Emily,14593
2023-02-04,Product B,Furniture,North,Mike,21180
2023-02-05,Product E,Furniture,West,Sara,19469
2023-02-06,Product A,Appliances,South,Tom,9577
2023-02-07,Product D,Electronics,North,Alice,15930
2023-02-08,Product D,Appliances,West,Sara,9624
2023-02-09,Product D,Books,South,Alice,22610
2023-02-10,Product A,Clothing,East,Mike,13756
2023-02-11,Product B,Appliances,West,Tom,15933
2023-02-12,Product D,Clothing,North,Tom,9626
2023-02-13,Product C,Electronics,East,Mike,14185
2023-02-14,Product C,Electronics,North,Tom,24955
2023-02-15,Product E,Appliances,South,Tom,22674
2023-02-16,Product A,Appliances,North,John,18062
2023-02-17,Product A,Books,South,Mike,17978
2023-02-18,Product A,Appliances,South,Mike,20292
2023-02-19,Product C,Electronics,West,Tom,6468
2023-02-20,Product B,Books,North,John,19790
2023-02-21,Product E,Books,West,Raj,18569
2023-02-22,Product B,Books,South,Emily,11332
2023-02-23,Product D,Appliances,North,Nina,19379
2023-02-24,Product D,Books,South,Emily,16561
2023-02-25,Product C,Books,North,Alice,21907
2023-02-26,Product B,Furniture,West,Tom,24113
2023-02-27,Product D,Books,South,Tom,20945
2023-02-28,Product B,Appliances,North,Alice,14263
2023-03-01,Product E,Clothing,West,Tom,15948
2023-03-02,Product C,Electronics,East,Mike,13423
2023-03-03,Product B,Clothing,North,Alice,23176
2023-03-04,Product D,Clothing,South,Tom,7920
2023-03-05,Product E,Furniture,North,Raj,18186
2023-03-06,Product C,Furniture,South,John,13056
2023-03-07,Product C,Electronics,West,Sara,24920
2023-03-08,Product D,Appliances,North,Tom,17723
2023-03-09,Product B,Clothing,West,Raj,18788
2023-03-10,Product C,Appliances,North,Emily,23373
2023-03-11,Product E,Electronics,North,Tom,16376
2023-03-12,Product A,Appliances,North,Emily,10483
2023-03-13,Product C,Electronics,East,Nina,21976
2023-03-14,Product B,Furniture,East,Emily,21887
2023-03-15,Product B,Books,West,Nina,18265
2023-03-16,Product A,Books,North,Emily,7521
2023-03-17,Product A,Appliances,South,Emily,23933
2023-03-18,Product B,Appliances,North,Tom,14108
2023-03-19,Product E,Appliances,South,Sara,20356
2023-03-20,Product D,Clothing,South,Mike,11608
2023-03-21,Product C,Clothing,East,Raj,22261
2023-03-22,Product D,Clothing,South,Alice,17790
2023-03-23,Product B,Appliances,West,John,13672
2023-03-24,Product C,Clothing,West,Sara,23725
2023-03-25,Product A,Electronics,South,Tom,9975
2023-03-26,Product A,Electronics,South,John,24560
2023-03-27,Product E,Electronics,East,Sara,10463
2023-03-28,Product A,Furniture,North,Raj,21331
2023-03-29,Product B,Furniture,North,Raj,23632
2023-03-30,Product E,Clothing,North,Alice,14270
2023-03-31,Product C,Appliances,West,Nina,22416
2023-04-01,Product A,Electronics,East,Raj,22180
2023-04-02,Product E,Furniture,West,Alice,8377
2023-04-03,Product C,Electronics,West,Mike,13555
2023-04-04,Product B,Electronics,East,Alice,12794
2023-04-05,Product A,Furniture,East,Raj,11131
2023-04-06,Product C,Books,East,Sara,12967
2023-04-07,Product A,Clothing,West,Emily,10206
2023-04-08,Product E,Clothing,West,Emily,16985
2023-04-09,Product B,Books,East,John,7362
2023-04-10,Product C,Electronics,East,Sara,17863
2023-04-11,Product E,Furniture,West,John,24590
2023-04-12,Product D,Furniture,North,Emily,11683
2023-04-13,Product E,Books,South,Mike,12229
2023-04-14,Product A,Books,East,Tom,14268
2023-04-15,Product B,Books,West,Nina,18182
2023-04-16,Product B,Furniture,South,Emily,8602
2023-04-17,Product A,Clothing,West,Alice,13749
2023-04-18,Product A,Furniture,North,Sara,10408
2023-04-19,Product E,Books,West,Tom,16367
2023-04-20,Product D,Electronics,South,Alice,17434
2023-04-21,Product B,Books,East,Sara,24649
2023-04-22,Product B,Electronics,East,John,22731
2023-04-23,Product A,Electronics,East,Mike,15436
2023-04-24,Product A,Appliances,East,Mike,9497
2023-04-25,Product C,Books,West,John,14405
2023-04-26,Product C,Electronics,East,Alice,5334
2023-04-27,Product D,Books,North,Raj,11641
2023-04-28,Product A,Clothing,East,John,19396
2023-04-29,Product B,Electronics,East,Mike,9034
2023-04-30,Product D,Furniture,North,Nina,8029
2023-05-01,Product B,Electronics,East,Tom,12056
2023-05-02,Product D,Books,South,Mike,22419
2023-05-03,Product C,Appliances,South,Mike,21344
2023-05-04,Product E,Books,East,John,10336
2023-05-05,Product E,Clothing,South,Raj,5514
2023-05-06,Product B,Books,South,Mike,8760
2023-05-07,Product A,Electronics,West,Tom,24703
2023-05-08,Product C,Furniture,South,Emily,14640
2023-05-09,Product D,Appliances,South,Nina,10945
2023-05-10,Product B,Furniture,West,Alice,6617
2023-05-11,Product E,Clothing,West,Nina,19811
2023-05-12,Product A,Appliances,East,Mike,21669
2023-05-13,Product B,Appliances,West,Tom,10673
2023-05-14,Product E,Furniture,North,Alice,12445
2023-05-15,Product D,Clothing,East,Mike,15705
2023-05-16,Product D,Electronics,East,John,15214
2023-05-17,Product E,Clothing,South,Alice,11338
2023-05-18,Product A,Clothing,South,Emily,18216
2023-05-19,Product C,Furniture,East,Raj,20249
2023-05-20,Product B,Clothing,West,Tom,19720
2023-05-21,Product A,Electronics,South,Tom,24474
2023-05-22,Product D,Appliances,North,Raj,21180
2023-05-23,Product E,Books,West,Nina,17455
2023-05-24,Product B,Clothing,East,Raj,9489
2023-05-25,Product D,Electronics,South,Alice,18433
2023-05-26,Product D,Electronics,East,Alice,16800
2023-05-27,Product E,Furniture,West,Raj,18209
2023-05-28,Product E,Books,East,Raj,7038
2023-05-29,Product D,Clothing,North,Mike,15303
2023-05-30,Product E,Books,West,Tom,23389
2023-05-31,Product D,Books,North,Sara,15117
2023-06-01,Product D,Electronics,South,John,7015
2023-06-02,Product E,Books,East,Tom,5982
2023-06-03,Product E,Clothing,East,Sara,10653
2023-06-04,Product D,Books,West,Tom,6769
2023-06-05,Product C,Electronics,East,Alice,15916
2023-06-06,Product B,Appliances,East,Alice,12492
2023-06-07,Product E,Appliances,East,John,13377
2023-06-08,Product E,Books,South,Sara,15752
2023-06-09,Product D,Books,West,Tom,11842
